"id","name","first_name","middle_name","last_name","known_name","birth_place","birth_date","deceased","weight","height","preferred_foot","country","first_nationality"
61906,"Jonas Ueland Kolstad","Jonas","","Ueland Kolstad","","","1976-09-21","",87,186,"","Norway",""
61913,"Lasse Staw","Lasse","","Staw","","","1988-01-01","",87,190,"","Norway",""
81783,"Per Morten Kristiansen","Per Morten","","Kristiansen","","","1981-07-14","",84,185,"","Norway",""
37415,"Hakon Opdal","Hakon","","Opdal","","","1982-06-11","",86,187,"","Norway",""
116126,"Jacob Faye-Lund","Jacob","","Faye-Lund","","","1994-09-15","","","","","Norway",""
202290,"Marius Enger Sæthre","Marius","","Enger Sæthre","","","1996-02-19","","","","","Norway",""
61915,"Ivar Forn","Ivar","","Forn","","","1983-06-24","","","","","Norway",""
217959,"Nils Christian Svere","Nils Christian","","Svere","","","1998-09-07","","","","","Norway",""
196812,"Marco Jorgensen","Marco","","Jorgensen","","","1991-06-02","",85,190,"","Denmark","Denmark"
207863,"Sebastian Olsen","Sebastian","Raade","Olsen","Sebastian Olsen","","1997-06-15","",80,194,"","Norway",""
107557,"Jakob Busk Jensen","Jakob","","Busk Jensen","","Kobenhavn","1993-09-12","",78,189,"Right","Denmark","Denmark"
169217,"Anders Gundersen","Anders","","Gundersen","","","1994-04-10","","","","","Norway",""
208832,"Vetle Heian","Vetle","","Heian","","","1998-12-30","","","","","Norway","Norway"
215422,"Gary Hogan","Gary","","Hogan","","","1983-01-05","",90,195,"Left","Republic of Ireland",""
219495,"Viktor Kristiansen","Viktor","","Kristiansen","","","1997-05-13","","","","","Norway",""
48710,"Lasse Heinze","Lasse","","Heinze","","","1986-04-03","",80,184,"","Denmark",""
37247,"Duwayne Kerr","Duwayne","","Kerr","","Burnt Savannah","1987-01-16","",90,199,"Right","Jamaica","Jamaica"
109028,"Christian Sukke","Christian","","Sukke","","","1993-01-21","","","","","Sweden",""
217960,"Christian Schaanning Mørch","Christian Schaanning","","Mørch","","","1997-10-23","","","","","Norway",""
183013,"Borger Thomas","Borger","","Thomas","","","1995-02-15","",75,188,"","Norway",""
85158,"Lukasz Jarosinski","Lukasz","","Jarosinski","","","1988-10-07","",89,193,"","Poland","Poland"
182277,"Eirik Johannessen","Eirik","","Johannessen","","","1997-01-27","","","","","Norway","Norway"
185998,"Morten Saetra","Morten","","Saetra","","","1997-06-18","","",192,"","Norway",""
48636,"Benny Lekström","Benny","","Lekström","","","1981-02-19","",88,191,"","Sweden",""
12781,"Lars Hirschfeld","Lars","","Hirschfeld","","","1978-10-17","",90,190,"","Canada","Canada"
27405,"Michael Langer","Michael","","Langer","","Bregenz","1985-01-06","",95,195,"Right","Austria","Austria"
208947,"Adrian Jonuzi Moller","Adrian Jonuzi","","Moller","","","1998-08-05","","","","","Norway",""
49792,"Sascha Burchert","Sascha","","Burchert","","Berlin","1989-10-30","",78,187,"Right","Germany","Germany"
202275,"Andreas Håskjold","Andreas","","Håskjold","","","1994-05-25","","","","","",""
98770,"Ørjan Nyland","Ørjan","Haskjold","Nyland","","Kristiansund","1990-09-10","",90,192,"Right","Norway","Norway"
143866,"Jacob Storevik","Jacob","","Storevik","","","1996-07-29","","","","","",""
39643,"Michael Tørnes","Michael","","Tornes","Michael Tørnes","","1986-01-08","",79,187,"","Denmark",""
185765,"Lars Herlofsen","Lars","","Herlofsen","","","1994-09-18","","","","","",""
37975,"Quentin Westberg","Quentin","","Westberg","","","1986-04-25","",79,185,"","USA",""
61995,"Lars Cramer","Lars","","Cramer","","","1991-05-25","",78,192,"","Norway",""
106216,"Simon Thomas","Simon","","Thomas","","","1990-04-12","",77,188,"","Canada","Canada"
230632,"Sergiy Pogorilyy","Sergiy","","Pogorilyy","","","1986-07-28","",88,191,"","Norway",""
233500,"Sebastian Heggland","Sebastian","","Heggland","","","","","","","","Norway",""
235245,"Mats Olsen","Mats","","Olsen","","","1997-11-24","","","","","Norway","Norway"
45335,"Haraldur Bjornsson","Haraldur","","Bjornsson","","","1989-01-11","",94,192,"","Iceland",""
61988,"Adam Larsen Kwarasey","Adam","","Larsen Kwarasey","","Oslo","1987-12-12","",81,188,"","Ghana","Norway"
223999,"Stefan Hagerup","Stefan","","Hagerup","","","1994-04-06","",79,187,"","Norway",""
229723,"Simen Lillevik Kjellevold","Simen","","Lillevik Kjellevold","","","1994-11-07","","","","","Norway",""
64584,"Hannes Thór Halldórsson","Hannes Thór","","Halldórsson","","Reykjavík","1984-04-27","",87,193,"","Iceland","Iceland"
